Entity,Food Category,Sum of Production Value,Sum of Year,Target
Czechia,Wheat Production (tonnes),3095282354,58203,619056470.8000001
Czechia,Yams  Production (tonnes),199088601,58203,39817720.2
Czechoslovakia,Apples Production (tonnes),18340385.9,63248,3668077.1799999997
Czechoslovakia,Avocados Production (tonnes),107003,63248,21400.600000000002
Czechoslovakia,Bananas  Production (tonnes),30286.07,63248,6057.214
Czechoslovakia,Cocoa beans Production (tonnes),32123523.310000002,63248,6424704.6620000005
Czechoslovakia,"Coffee, green Production (tonnes)",744194.8,63248,148838.96000000002
Czechoslovakia,Grapes  Production (tonnes),46211890.800000004,63248,9242378.160000002
Czechoslovakia,Maize Production (tonnes),22227149,63248,4445429.8
Czechoslovakia,"Meat, chicken  Production (tonnes)",1223874,63248,244774.80000000002
Czechoslovakia,Oranges  Production (tonnes),900240.27,63248,180048.054
Czechoslovakia,Palm oil  Production (tonnes),26579050,63248,5315810
Czechoslovakia,"Peas, dry Production (tonnes)",33316.93,63248,6663.386
Czechoslovakia,Potatoes  Production (tonnes),21076,63248,4215.2
Czechoslovakia,Rice  Production (tonnes),819065.24,63248,163813.048
Czechoslovakia,Rye  Production (tonnes),61239.299999999996,63248,12247.86
Czechoslovakia,Soybeans  Production (tonnes),1242243,63248,248448.6
Czechoslovakia,Sugar cane Production (tonnes),71024002.34,63248,14204800.468000002
Czechoslovakia,Sunflower seed  Production (tonnes),1101568.6,63248,220313.72000000003
Czechoslovakia,Sweet potatoes  Production (tonnes),4393729,63248,878745.8
Czechoslovakia,Tea  Production (tonnes),2417470,63248,483494
Czechoslovakia,Tomatoes Production (tonnes),25800.86,63248,5160.1720000000005
Czechoslovakia,Wheat Production (tonnes),1468231274,63248,293646254.8
Czechoslovakia,Yams  Production (tonnes),59903445.39999999,63248,11980689.079999998
Democratic Republic of Congo,Apples Production (tonnes),34358496.4,121451,6871699.28
Democratic Republic of Congo,Avocados Production (tonnes),2705859.38,121451,541171.876
Democratic Republic of Congo,Bananas  Production (tonnes),9351551.389999999,121451,1870310.278
Democratic Republic of Congo,Cocoa beans Production (tonnes),100175615.8,121451,20035123.16
Democratic Republic of Congo,"Coffee, green Production (tonnes)",1358455.6609999998,121451,271691.1322
Democratic Republic of Congo,Grapes  Production (tonnes),57741236.400000006,121451,11548247.280000001
Democratic Republic of Congo,Maize Production (tonnes),63201310,121451,12640262
Democratic Republic of Congo,"Meat, chicken  Production (tonnes)",2070368.26,121451,414073.652
Democratic Republic of Congo,Oranges  Production (tonnes),130196045,121451,26039209
Democratic Republic of Congo,Palm oil  Production (tonnes),23814480,121451,4762896
Democratic Republic of Congo,"Peas, dry Production (tonnes)",177775898.33,121451,35555179.666
Democratic Republic of Congo,Potatoes  Production (tonnes),117689153,121451,23537830.6
Democratic Republic of Congo,Rice  Production (tonnes),180664.13999999993,121451,36132.82799999999
Democratic Republic of Congo,Rye  Production (tonnes),73946.03,121451,14789.206
Democratic Republic of Congo,Soybeans  Production (tonnes),60808208,121451,12161641.600000001
Democratic Republic of Congo,Sugar cane Production (tonnes),95353562,121451,19070712.400000002
Democratic Republic of Congo,Sunflower seed  Production (tonnes),41584004.53,121451,8316800.906
Democratic Republic of Congo,Sweet potatoes  Production (tonnes),6399358.197999999,121451,1279871.6395999999
Democratic Republic of Congo,Tea  Production (tonnes),3374891,121451,674978.2000000001
Democratic Republic of Congo,Tomatoes Production (tonnes),4089974.6300000004,121451,817994.9260000001
Democratic Republic of Congo,Wheat Production (tonnes),361298606,121451,72259721.2
Democratic Republic of Congo,Yams  Production (tonnes),1256539889.9,121451,251307977.98000002
Denmark,Apples Production (tonnes),46522516,62186,9304503.200000001
Denmark,Avocados Production (tonnes),6629239.4399999995,62186,1325847.888
Denmark,Bananas  Production (tonnes),7710578,62186,1542115.6
Denmark,Cocoa beans Production (tonnes),214162,62186,42832.4
Denmark,"Coffee, green Production (tonnes)",4642869,62186,928573.8
Denmark,Grapes  Production (tonnes),5217247.3,62186,1043449.46
Denmark,Maize Production (tonnes),620410,62186,124082
Denmark,"Meat, chicken  Production (tonnes)",1623925,62186,324785
Denmark,Oranges  Production (tonnes),188350862,62186,37670172.4
Denmark,Palm oil  Production (tonnes),17023033.9,62186,3404606.78
Denmark,"Peas, dry Production (tonnes)",74040519,62186,14808103.8
Denmark,Potatoes  Production (tonnes),491217553,62186,98243510.60000001
Denmark,Rice  Production (tonnes),13480312.82,62186,2696062.5640000002
Denmark,Rye  Production (tonnes),92829.32999999999,62186,18565.865999999998
Denmark,Soybeans  Production (tonnes),226948009,62186,45389601.800000004
Denmark,Sugar cane Production (tonnes),103670,62186,20734
Denmark,Sunflower seed  Production (tonnes),17525229.3,62186,3505045.8600000003
Denmark,Sweet potatoes  Production (tonnes),3134238.8499999996,62186,626847.7699999999
Denmark,Tea  Production (tonnes),1457645,62186,291529
Denmark,Tomatoes Production (tonnes),5415298.81,62186,1083059.7619999999
Denmark,Wheat Production (tonnes),1036375262,62186,207275052.4
Denmark,Yams  Production (tonnes),550115676,62186,110023135.2
Djibouti,Apples Production (tonnes),38176177,82041,7635235.4
Djibouti,Avocados Production (tonnes),1958076,82041,391615.2
Djibouti,Bananas  Production (tonnes),18032396.809999995,82041,3606479.3619999993
Djibouti,Cocoa beans Production (tonnes),3044576,82041,608915.2000000001
Djibouti,"Coffee, green Production (tonnes)",7073731.5,82041,1414746.3
Djibouti,Grapes  Production (tonnes),3684574,82041,736914.8
Djibouti,Maize Production (tonnes),468,82041,93.60000000000001
Djibouti,"Meat, chicken  Production (tonnes)",1663031,82041,332606.2
Djibouti,Oranges  Production (tonnes),189884703.5,82041,37976940.7
Djibouti,Palm oil  Production (tonnes),14289496,82041,2857899.2
Djibouti,"Peas, dry Production (tonnes)",4493208,82041,898641.6000000001
Djibouti,Potatoes  Production (tonnes),2307707024,82041,461541404.8
Djibouti,Rice  Production (tonnes),147409547.60000002,82041,29481909.520000007
Djibouti,Rye  Production (tonnes),98705.26999999999,82041,19741.054
Djibouti,Soybeans  Production (tonnes),38767163,82041,7753432.600000001
Djibouti,Sugar cane Production (tonnes),111450,82041,22290
Djibouti,Sunflower seed  Production (tonnes),17615916.099999998,82041,3523183.2199999997
Djibouti,Sweet potatoes  Production (tonnes),4613538.34,82041,922707.6680000001
Djibouti,Tea  Production (tonnes),2472735,82041,494547
Djibouti,Tomatoes Production (tonnes),2825307.5599999996,82041,565061.512
Djibouti,Wheat Production (tonnes),345928405,82041,69185681
Djibouti,Yams  Production (tonnes),1834368.76,82041,366873.75200000004
Dominica,Apples Production (tonnes),65613334.6,121451,13122666.920000002
Dominica,Avocados Production (tonnes),1543503.31,121451,308700.662
Dominica,Bananas  Production (tonnes),26874747.809999995,121451,5374949.561999999
Dominica,Cocoa beans Production (tonnes),1137691,121451,227538.2
Dominica,"Coffee, green Production (tonnes)",15565273,121451,3113054.6
Dominica,Grapes  Production (tonnes),479614826.36,121451,95922965.27200001
Dominica,Maize Production (tonnes),11021,121451,2204.2000000000003
Dominica,"Meat, chicken  Production (tonnes)",1946536.4100000001,121451,389307.28200000006
Dominica,Oranges  Production (tonnes),312134431,121451,62426886.2
Dominica,Palm oil  Production (tonnes),14567024,121451,2913404.8000000003
Dominica,"Peas, dry Production (tonnes)",39466271.94,121451,7893254.388
Dominica,Potatoes  Production (tonnes),6655887512,121451,1331177502.4
Dominica,Rice  Production (tonnes),216195861.59999996,121451,43239172.31999999
Dominica,Rye  Production (tonnes),3804019.12,121451,760803.824
Dominica,Soybeans  Production (tonnes),11979820.599999998,121451,2395964.1199999996
Dominica,Sugar cane Production (tonnes),7059191.52,121451,1411838.304
Dominica,Sunflower seed  Production (tonnes),9792004.31,121451,1958400.8620000002
Dominica,Sweet potatoes  Production (tonnes),6178635.198,121451,1235727.0396
Dominica,Tea  Production (tonnes),17866725,121451,3573345
Dominica,Tomatoes Production (tonnes),121991056.99999999,121451,24398211.4
Dominica,Wheat Production (tonnes),973318376,121451,194663675.20000002
Dominica,Yams  Production (tonnes),526699,121451,105339.8
Dominican Republic,Apples Production (tonnes),1963949,121451,392789.80000000005
Dominican Republic,Avocados Production (tonnes),1124319.54,121451,224863.90800000002
Dominican Republic,Bananas  Production (tonnes),27192924.809999995,121451,5438584.961999999
Dominican Republic,Cocoa beans Production (tonnes),2449888.59,121451,489977.718
Dominican Republic,"Coffee, green Production (tonnes)",18584302,121451,3716860.4000000004
Dominican Republic,Grapes  Production (tonnes),113905069.5,121451,22781013.900000002
Dominican Republic,Maize Production (tonnes),2651896,121451,530379.2000000001
Dominican Republic,"Meat, chicken  Production (tonnes)",7936745,121451,1587349
Dominican Republic,Oranges  Production (tonnes),312503780,121451,62500756
Dominican Republic,Palm oil  Production (tonnes),7534734,121451,1506946.8
Dominican Republic,"Peas, dry Production (tonnes)",50775,121451,10155
Dominican Republic,Potatoes  Production (tonnes),319418552,121451,63883710.400000006
Dominican Republic,Rice  Production (tonnes),153659284.5,121451,30731856.900000002
Dominican Republic,Rye  Production (tonnes),9419322,121451,1883864.4000000001
Dominican Republic,Soybeans  Production (tonnes),1765482.7500000002,121451,353096.55000000005
Dominican Republic,Sugar cane Production (tonnes),9424465.82,121451,1884893.164
Dominican Republic,Sunflower seed  Production (tonnes),49387026.85999999,121451,9877405.372
Dominican Republic,Sweet potatoes  Production (tonnes),2007126.1900000004,121451,401425.2380000001
Dominican Republic,Tea  Production (tonnes),608122,121451,121624.40000000001
Dominican Republic,Tomatoes Production (tonnes),1355222297,121451,271044459.40000004
Dominican Republic,Wheat Production (tonnes),118851448,121451,23770289.6
Dominican Republic,Yams  Production (tonnes),3219631.47,121451,643926.2940000001
East Timor,Apples Production (tonnes),3690261,121451,738052.2000000001
East Timor,Avocados Production (tonnes),4315951.3,121451,863190.26
East Timor,Bananas  Production (tonnes),27215334.809999995,121451,5443066.961999999
East Timor,Cocoa beans Production (tonnes),1277022.3800000004,121451,255404.47600000008
East Timor,"Coffee, green Production (tonnes)",2528769,121451,505753.80000000005
East Timor,Grapes  Production (tonnes),3958331,121451,791666.2000000001
East Timor,Maize Production (tonnes),3807840,121451,761568
East Timor,"Meat, chicken  Production (tonnes)",1123764.74,121451,224752.948
East Timor,Oranges  Production (tonnes),125444212.47,121451,25088842.494000003
East Timor,Palm oil  Production (tonnes),6427498,121451,1285499.6
East Timor,"Peas, dry Production (tonnes)",124376.56,121451,24875.312
East Timor,Potatoes  Production (tonnes),101929031,121451,20385806.200000003
East Timor,Rice  Production (tonnes),137658338.20000002,121451,27531667.640000004
East Timor,Rye  Production (tonnes),43953425.68,121451,8790685.136
East Timor,Soybeans  Production (tonnes),32306391.3,121451,6461278.260000001
East Timor,Sugar cane Production (tonnes),1833689.0099999998,121451,366737.80199999997
East Timor,Sunflower seed  Production (tonnes),21535478.19,121451,4307095.638
East Timor,Sweet potatoes  Production (tonnes),250521.37000000002,121451,50104.274000000005
East Timor,Tea  Production (tonnes),1411867,121451,282373.4
East Timor,Tomatoes Production (tonnes),332259578.5,121451,66451915.7
East Timor,Wheat Production (tonnes),202776081,121451,40555216.2
East Timor,Yams  Production (tonnes),25607202.690000005,121451,5121440.538000002
Eastern Africa (FAO),Apples Production (tonnes),75453326.69,121451,15090665.338
Eastern Africa (FAO),Avocados Production (tonnes),6675068.249999998,121451,1335013.6499999997
Eastern Africa (FAO),Bananas  Production (tonnes),2873397.5199999996,121451,574679.504
Eastern Africa (FAO),Cocoa beans Production (tonnes),4585342.27,121451,917068.4539999999
Eastern Africa (FAO),"Coffee, green Production (tonnes)",9452270,121451,1890454
Eastern Africa (FAO),Grapes  Production (tonnes),2255921.73,121451,451184.346
Eastern Africa (FAO),Maize Production (tonnes),952069272,121451,190413854.4
Eastern Africa (FAO),"Meat, chicken  Production (tonnes)",7389494,121451,1477898.8
Eastern Africa (FAO),Oranges  Production (tonnes),86166.45,121451,17233.29
Eastern Africa (FAO),Palm oil  Production (tonnes),2460714.8100000005,121451,492142.9620000001
Eastern Africa (FAO),"Peas, dry Production (tonnes)",267221.06,121451,53444.212
Eastern Africa (FAO),Potatoes  Production (tonnes),29051878,121451,5810375.600000001
Eastern Africa (FAO),Rice  Production (tonnes),42112995.7,121451,8422599.14
Eastern Africa (FAO),Rye  Production (tonnes),2137008.6200000006,121451,427401.72400000016
Eastern Africa (FAO),Soybeans  Production (tonnes),12605700,121451,2521140
Eastern Africa (FAO),Sugar cane Production (tonnes),59691835.49,121451,11938367.098000001
Eastern Africa (FAO),Sunflower seed  Production (tonnes),267633711.3,121451,53526742.260000005
Eastern Africa (FAO),Sweet potatoes  Production (tonnes),3105315.1599999997,121451,621063.032
Eastern Africa (FAO),Tea  Production (tonnes),177370,121451,35474
Eastern Africa (FAO),Tomatoes Production (tonnes),25938300.910000004,121451,5187660.182000001
Eastern Africa (FAO),Wheat Production (tonnes),11884365281,121451,2376873056.2000003
Eastern Africa (FAO),Yams  Production (tonnes),120105154.53999999,121451,24021030.908
Eastern Asia (FAO),Apples Production (tonnes),92383463.99999999,121451,18476692.799999997
Eastern Asia (FAO),Avocados Production (tonnes),7626924.77,121451,1525384.954
Eastern Asia (FAO),Bananas  Production (tonnes),942078.99,121451,188415.798
Eastern Asia (FAO),Cocoa beans Production (tonnes),22080283.76,121451,4416056.752
Eastern Asia (FAO),"Coffee, green Production (tonnes)",20726226.4,121451,4145245.28
Eastern Asia (FAO),Grapes  Production (tonnes),363245.22,121451,72649.044
Eastern Asia (FAO),Maize Production (tonnes),6810259050,121451,1362051810
Eastern Asia (FAO),"Meat, chicken  Production (tonnes)",143150.65,121451,28630.13
Eastern Asia (FAO),Oranges  Production (tonnes),114695.20000000001,121451,22939.040000000005
Eastern Asia (FAO),Palm oil  Production (tonnes),2778950,121451,555790
Eastern Asia (FAO),"Peas, dry Production (tonnes)",1040585.9,121451,208117.18000000002
Eastern Asia (FAO),Potatoes  Production (tonnes),7747528,121451,1549505.6
Eastern Asia (FAO),Rice  Production (tonnes),3766582.51,121451,753316.502
Eastern Asia (FAO),Rye  Production (tonnes),4245146.87,121451,849029.3740000001
Eastern Asia (FAO),Soybeans  Production (tonnes),1858767,121451,371753.4
Eastern Asia (FAO),Sugar cane Production (tonnes),781757681,121451,156351536.20000002
Eastern Asia (FAO),Sunflower seed  Production (tonnes),474068,121451,94813.6
Eastern Asia (FAO),Sweet potatoes  Production (tonnes),186115.96000000002,121451,37223.192
Eastern Asia (FAO),Tea  Production (tonnes),1199515,121451,239903
Eastern Asia (FAO),Tomatoes Production (tonnes),261800879,121451,52360175.800000004
Eastern Asia (FAO),Wheat Production (tonnes),3960146,121451,792029.2000000001
Eastern Asia (FAO),Yams  Production (tonnes),391602845,121451,78320569
Eastern Europe (FAO),Apples Production (tonnes),21441535.7,121451,4288307.14
Eastern Europe (FAO),Avocados Production (tonnes),19845452.259999994,121451,3969090.451999999
Eastern Europe (FAO),Bananas  Production (tonnes),55483.82000000001,121451,11096.764000000003
Eastern Europe (FAO),Cocoa beans Production (tonnes),49961693.30000001,121451,9992338.660000002
Eastern Europe (FAO),"Coffee, green Production (tonnes)",26716926.25,121451,5343385.25
Eastern Europe (FAO),Grapes  Production (tonnes),83234647.00000001,121451,16646929.400000004
Eastern Europe (FAO),Maize Production (tonnes),2228943452,121451,445788690.40000004
Eastern Europe (FAO),"Meat, chicken  Production (tonnes)",9558787.28,121451,1911757.456
Eastern Europe (FAO),Oranges  Production (tonnes),17323.2,121451,3464.6400000000003
Eastern Europe (FAO),Palm oil  Production (tonnes),102697.79999999999,121451,20539.559999999998
Eastern Europe (FAO),"Peas, dry Production (tonnes)",204517.83,121451,40903.566
Eastern Europe (FAO),Potatoes  Production (tonnes),567985,121451,113597
Eastern Europe (FAO),Rice  Production (tonnes),2172422.4,121451,434484.48
Eastern Europe (FAO),Rye  Production (tonnes),49655066,121451,9931013.200000001
Eastern Europe (FAO),Soybeans  Production (tonnes),1363953.4700000002,121451,272790.6940000001
Eastern Europe (FAO),Sugar cane Production (tonnes),10446922.31,121451,2089384.4620000003
Eastern Europe (FAO),Sunflower seed  Production (tonnes),419057.31999999995,121451,83811.46399999999
Eastern Europe (FAO),Sweet potatoes  Production (tonnes),79300.29999999999,121451,15860.059999999998
Eastern Europe (FAO),Tea  Production (tonnes),1669862,121451,333972.4
Eastern Europe (FAO),Tomatoes Production (tonnes),1133996.7,121451,226799.34
Eastern Europe (FAO),Wheat Production (tonnes),296698395,121451,59339679
Eastern Europe (FAO),Yams  Production (tonnes),262147.7200000001,121451,52429.54400000002
Ecuador,Apples Production (tonnes),4621719.23,121451,924343.8460000001
Ecuador,Avocados Production (tonnes),6887122.4,121451,1377424.4800000002
Ecuador,Bananas  Production (tonnes),630056.4700000001,121451,126011.29400000002
Ecuador,Cocoa beans Production (tonnes),6756909.859999999,121451,1351381.972
Ecuador,"Coffee, green Production (tonnes)",28889044.590000004,121451,5777808.918000001
Ecuador,Grapes  Production (tonnes),51690791.47,121451,10338158.294
Ecuador,Maize Production (tonnes),36223488,121451,7244697.600000001
Ecuador,"Meat, chicken  Production (tonnes)",675655.53,121451,135131.106
Ecuador,Oranges  Production (tonnes),1298299.57,121451,259659.91400000002
Ecuador,Palm oil  Production (tonnes),484239.6,121451,96847.92
Ecuador,"Peas, dry Production (tonnes)",1611730.48,121451,322346.096
Ecuador,Potatoes  Production (tonnes),25971722,121451,5194344.4
Ecuador,Rice  Production (tonnes),111670.54999999999,121451,22334.11
Ecuador,Rye  Production (tonnes),51174192,121451,10234838.4
Ecuador,Soybeans  Production (tonnes),175025110,121451,35005022
Ecuador,Sugar cane Production (tonnes),78735068.82000001,121451,15747013.764000002
Ecuador,Sunflower seed  Production (tonnes),12360813.990000002,121451,2472162.7980000004
Ecuador,Sweet potatoes  Production (tonnes),216469,121451,43293.8
Ecuador,Tea  Production (tonnes),4552606,121451,910521.2000000001
Ecuador,Tomatoes Production (tonnes),218722.19,121451,43744.438
Ecuador,Wheat Production (tonnes),3283657915,121451,656731583
Ecuador,Yams  Production (tonnes),649176000,121451,129835200
Egypt,Apples Production (tonnes),3400185.3499999996,121451,680037.07
Egypt,Avocados Production (tonnes),27368836.24,121451,5473767.248
Egypt,Bananas  Production (tonnes),1677519.5000000002,121451,335503.9000000001
Egypt,Cocoa beans Production (tonnes),12791168.389999999,121451,2558233.678
Egypt,"Coffee, green Production (tonnes)",39157001.66,121451,7831400.3319999995
Egypt,Grapes  Production (tonnes),13820441.520000001,121451,2764088.3040000005
Egypt,Maize Production (tonnes),291988129,121451,58397625.800000004
Egypt,"Meat, chicken  Production (tonnes)",24759337.31,121451,4951867.462
Egypt,Oranges  Production (tonnes),22898255.57,121451,4579651.114
Egypt,Palm oil  Production (tonnes),2816698.44,121451,563339.688
Egypt,"Peas, dry Production (tonnes)",2860379.3999999994,121451,572075.8799999999
Egypt,Potatoes  Production (tonnes),9670283314,121451,1934056662.8000002
Egypt,Rice  Production (tonnes),1882059.78,121451,376411.956
Egypt,Rye  Production (tonnes),890493,121451,178098.6
Egypt,Soybeans  Production (tonnes),86389224,121451,17277844.8
Egypt,Sugar cane Production (tonnes),172463509.60000002,121451,34492701.92000001
Egypt,Sunflower seed  Production (tonnes),2174086.71,121451,434817.342
Egypt,Sweet potatoes  Production (tonnes),5667398.760000001,121451,1133479.752
Egypt,Tea  Production (tonnes),25281514,121451,5056302.800000001
Egypt,Tomatoes Production (tonnes),1988707.22,121451,397741.444
Egypt,Wheat Production (tonnes),502125364,121451,100425072.80000001
Egypt,Yams  Production (tonnes),597539728.2300001,121451,119507945.64600003
El Salvador,Apples Production (tonnes),60034651.89,121451,12006930.378
El Salvador,Avocados Production (tonnes),1805627.77,121451,361125.554
El Salvador,Bananas  Production (tonnes),336406.4,121451,67281.28000000001
El Salvador,Cocoa beans Production (tonnes),4630699.549000001,121451,926139.9098000001
El Salvador,"Coffee, green Production (tonnes)",93341956,121451,18668391.2
El Salvador,Grapes  Production (tonnes),1622826.0299999998,121451,324565.206
El Salvador,Maize Production (tonnes),33675184,121451,6735036.800000001
El Salvador,"Meat, chicken  Production (tonnes)",445396600.5,121451,89079320.10000001
El Salvador,Oranges  Production (tonnes),36486559.02000001,121451,7297311.804000002
El Salvador,Palm oil  Production (tonnes),16055208.240000002,121451,3211041.6480000005
El Salvador,"Peas, dry Production (tonnes)",13626765.299999999,121451,2725353.06
El Salvador,Potatoes  Production (tonnes),10048623314,121451,2009724662.8000002
El Salvador,Rice  Production (tonnes),8985767,121451,1797153.4000000001
El Salvador,Rye  Production (tonnes),1276087.67,121451,255217.53399999999
El Salvador,Soybeans  Production (tonnes),1431215.3900000001,121451,286243.07800000004
El Salvador,Sugar cane Production (tonnes),1350419073.7000003,121451,270083814.74000007
El Salvador,Sunflower seed  Production (tonnes),635219.33,121451,127043.866
El Salvador,Sweet potatoes  Production (tonnes),7082941.720000002,121451,1416588.3440000005
El Salvador,Tea  Production (tonnes),16581738,121451,3316347.6
El Salvador,Tomatoes Production (tonnes),894963915,121451,178992783
El Salvador,Wheat Production (tonnes),100536642,121451,20107328.400000002
El Salvador,Yams  Production (tonnes),18676351.509999998,121451,3735270.3019999997
Eritrea,Apples Production (tonnes),674325,58203,134865
Eritrea,Avocados Production (tonnes),33663,58203,6732.6
Eritrea,Bananas  Production (tonnes),531295,58203,106259
Eritrea,Cocoa beans Production (tonnes),1351392.462,58203,270278.49240000005
Eritrea,"Coffee, green Production (tonnes)",22363259.200000003,58203,4472651.840000001
Eritrea,Grapes  Production (tonnes),157990.09,58203,31598.018
Eritrea,Maize Production (tonnes),426063,58203,85212.6
Eritrea,"Meat, chicken  Production (tonnes)",88240292,58203,17648058.400000002
Eritrea,Oranges  Production (tonnes),25399.900000000005,58203,5079.980000000001
Eritrea,Palm oil  Production (tonnes),321105,58203,64221
Eritrea,"Peas, dry Production (tonnes)",7702490,58203,1540498
Eritrea,Potatoes  Production (tonnes),3062704790,58203,612540958
Eritrea,Rice  Production (tonnes),7886811.5,58203,1577362.3
Eritrea,Rye  Production (tonnes),492079,58203,98415.8
Eritrea,Soybeans  Production (tonnes),14061368.29,58203,2812273.658
Eritrea,Sugar cane Production (tonnes),1974460136,58203,394892027.20000005
Eritrea,Sunflower seed  Production (tonnes),1748017,58203,349603.4
Eritrea,Sweet potatoes  Production (tonnes),6835907.16,58203,1367181.432
Eritrea,Tea  Production (tonnes),3527356,58203,705471.2000000001
Eritrea,Tomatoes Production (tonnes),534757235,58203,106951447
Eritrea,Wheat Production (tonnes),10172760,58203,2034552
Eritrea,Yams  Production (tonnes),10661350.63,58203,2132270.126
Estonia,Apples Production (tonnes),146200,8078,29240
Estonia,Avocados Production (tonnes),14412,8078,2882.4
Estonia,Bananas  Production (tonnes),46000,8078,9200
Estonia,Cocoa beans Production (tonnes),80200,8078,16040
Estonia,"Coffee, green Production (tonnes)",3744387.1,8078,748877.42
Estonia,Grapes  Production (tonnes),0,8078,0
Estonia,Maize Production (tonnes),0,8078,0
Estonia,"Meat, chicken  Production (tonnes)",9129289,8078,1825857.8
Estonia,Oranges  Production (tonnes),2723.5,8078,544.7
Estonia,Palm oil  Production (tonnes),116842,8078,23368.4
Estonia,"Peas, dry Production (tonnes)",998233.9700000001,8078,199646.79400000002
Estonia,Potatoes  Production (tonnes),346591702,8078,69318340.4
Estonia,Rice  Production (tonnes),406065,8078,81213
Estonia,Rye  Production (tonnes),92216,8078,18443.2
Estonia,Soybeans  Production (tonnes),5502088.2,8078,1100417.6400000001
Estonia,Sugar cane Production (tonnes),229633734,8078,45926746.800000004
Estonia,Sunflower seed  Production (tonnes),459514,8078,91902.8
Estonia,Sweet potatoes  Production (tonnes),944171.62,8078,188834.32400000002
Estonia,Tea  Production (tonnes),407954,8078,81590.8
Estonia,Tomatoes Production (tonnes),79483458,8078,15896691.600000001
Estonia,Wheat Production (tonnes),2408000,8078,481600
Estonia,Yams  Production (tonnes),456000,8078,91200
Eswatini,Apples Production (tonnes),5917663.559999999,121451,1183532.7119999998
Eswatini,Avocados Production (tonnes),1203797,121451,240759.40000000002
Eswatini,Bananas  Production (tonnes),4827093.239999999,121451,965418.6479999999
Eswatini,Cocoa beans Production (tonnes),2309129.4699999993,121451,461825.89399999985
Eswatini,"Coffee, green Production (tonnes)",128886550.10000002,121451,25777310.020000007
Eswatini,Grapes  Production (tonnes),137038653.8,121451,27407730.760000005
Eswatini,Maize Production (tonnes),5150131,121451,1030026.2000000001
Eswatini,"Meat, chicken  Production (tonnes)",137489433.67999998,121451,27497886.735999998
Eswatini,Oranges  Production (tonnes),298077.03,121451,59615.40600000001
Eswatini,Palm oil  Production (tonnes),10945017,121451,2189003.4
Eswatini,"Peas, dry Production (tonnes)",12833669.21,121451,2566733.842
Eswatini,Potatoes  Production (tonnes),5032216280,121451,1006443256
Eswatini,Rice  Production (tonnes),7395677.83,121451,1479135.566
Eswatini,Rye  Production (tonnes),696466.67,121451,139293.334
Eswatini,Soybeans  Production (tonnes),5636954.990000001,121451,1127390.9980000004
Eswatini,Sugar cane Production (tonnes),622765296,121451,124553059.2
Eswatini,Sunflower seed  Production (tonnes),8951834.049999999,121451,1790366.8099999998
Eswatini,Sweet potatoes  Production (tonnes),256560132.57999998,121451,51312026.516
Eswatini,Tea  Production (tonnes),7381088,121451,1476217.6
Eswatini,Tomatoes Production (tonnes),1114954331,121451,222990866.20000002
Eswatini,Wheat Production (tonnes),25208349,121451,5041669.800000001
Eswatini,Yams  Production (tonnes),9625570.620000001,121451,1925114.1240000003
Ethiopia,Apples Production (tonnes),3953110,58203,790622
Ethiopia,Avocados Production (tonnes),14316984,58203,2863396.8000000003
Ethiopia,Bananas  Production (tonnes),7363604,58203,1472720.8
Ethiopia,Cocoa beans Production (tonnes),26733,58203,5346.6
Ethiopia,"Coffee, green Production (tonnes)",2245652,58203,449130.4
Ethiopia,Grapes  Production (tonnes),27252923.5,58203,5450584.7
Ethiopia,Maize Production (tonnes),153229240,58203,30645848
Ethiopia,"Meat, chicken  Production (tonnes)",8349537,58203,1669907.4000000001
Ethiopia,Oranges  Production (tonnes),3078380.5100000002,58203,615676.1020000001
Ethiopia,Palm oil  Production (tonnes),38389787.5,58203,7677957.5
Ethiopia,"Peas, dry Production (tonnes)",95709.55,58203,19141.91
Ethiopia,Potatoes  Production (tonnes),1810323808,58203,362064761.6
Ethiopia,Rice  Production (tonnes),957054.12,58203,191410.82400000002
Ethiopia,Rye  Production (tonnes),22168018.25,58203,4433603.65
Ethiopia,Soybeans  Production (tonnes),9963550.52,58203,1992710.104
Ethiopia,Sugar cane Production (tonnes),2882401592.5,58203,576480318.5
Ethiopia,Sunflower seed  Production (tonnes),6199207,58203,1239841.4000000001
Ethiopia,Sweet potatoes  Production (tonnes),35305647.1,58203,7061129.420000001
Ethiopia,Tea  Production (tonnes),2421965,58203,484393
Ethiopia,Tomatoes Production (tonnes),458758624,58203,91751724.80000001
Ethiopia,Wheat Production (tonnes),29507181,58203,5901436.2
Ethiopia,Yams  Production (tonnes),8119054.949999999,58203,1623810.99
Ethiopia (former),Apples Production (tonnes),4149374.6599999997,63248,829874.932
Ethiopia (former),Avocados Production (tonnes),33650230.1,63248,6730046.0200000005
Ethiopia (former),Bananas  Production (tonnes),27694229.5,63248,5538845.9
Ethiopia (former),Cocoa beans Production (tonnes),76065,63248,15213
Ethiopia (former),"Coffee, green Production (tonnes)",1711075.26,63248,342215.052
Ethiopia (former),Grapes  Production (tonnes),31869137.639999997,63248,6373827.528
Ethiopia (former),Maize Production (tonnes),36475249,63248,7295049.800000001
Ethiopia (former),"Meat, chicken  Production (tonnes)",5494336,63248,1098867.2
Ethiopia (former),Oranges  Production (tonnes),1776921.96,63248,355384.392
Ethiopia (former),Palm oil  Production (tonnes),10669199,63248,2133839.8000000003
